split,label,example_idx,turn,feature_30868,feature_11679,feature_9008,feature_31037,feature_20574,feature_32154,feature_22275,feature_14298,feature_27197,feature_6740
fail,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025431066751480103
fail,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15700781345367432
fail,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fail,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fail,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fail,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2542861998081207,0.0
fail,0,3,1,0.0,0.016379673033952713,0.004916940815746784,0.021889515221118927,0.01252572238445282,0.005113196559250355,0.011488700285553932,0.0,0.0,0.010473698377609253
fail,0,4,1,0.0069244480691850185,0.0,0.02939264290034771,0.0,0.027772968634963036,0.005349167622625828,0.022237466648221016,0.005460625048726797,0.0,0.010952706448733807
fail,0,5,1,0.0,0.0,0.011940325610339642,0.0,0.01336674764752388,0.012439819984138012,0.027047110721468925,0.0,0.0,0.03933260217308998
fail,0,6,1,0.014169738627970219,0.0,0.01122390665113926,0.0,0.01256474293768406,0.011693431064486504,0.0,0.0,0.0,0.02261141687631607
fail,0,7,1,0.018521299585700035,0.019956720992922783,0.0,0.019945209845900536,0.016931958496570587,0.01548277772963047,0.03295999765396118,0.0,0.014780066907405853,0.08605369180440903
fail,0,7,2,0.0,0.0,0.025134608149528503,0.0,0.05763458088040352,0.05233205482363701,0.0,0.0,0.027573494240641594,0.15196488797664642
fail,0,8,1,0.01587296463549137,0.01780693791806698,0.0,0.017773272469639778,0.027306130155920982,0.013145915232598782,0.0,0.0,0.013062813319265842,0.03735143318772316
fail,0,8,2,0.0,0.0,0.026199426501989365,0.0,0.05950143188238144,0.056237105280160904,0.0,0.0,0.028338612988591194,0.16440145671367645
fail,0,9,1,0.013530143536627293,0.014804561622440815,0.0,0.01481553539633751,0.022231724113225937,0.01108349859714508,0.024593332782387733,0.0,0.02062089368700981,0.043876390904188156
fail,0,9,2,0.0,0.0,0.04516690969467163,0.0,0.023602180182933807,0.02493004873394966,0.0,0.0,0.0,0.1686534583568573
fail,0,10,1,0.013340650126338005,0.014627829194068909,0.0,0.014546133577823639,0.009797885082662106,0.010662004351615906,0.011907381005585194,0.0,0.010378706268966198,0.031198326498270035
fail,0,10,2,0.0,0.0228407084941864,0.03384701907634735,0.0,0.01798647828400135,0.01873455010354519,0.0,0.0,0.0,0.10427556931972504
fail,0,11,1,0.028167393058538437,0.05302431806921959,0.0,0.03013082966208458,0.0,0.0,0.0,0.0,0.0,0.08782204240560532
fail,0,11,2,0.0,0.0,0.030310584232211113,0.0,0.0162822213023901,0.016764866188168526,0.0194733627140522,0.0,0.015638338401913643,0.0475393682718277
fail,0,12,1,0.01831814832985401,0.0196597408503294,0.0,0.019736245274543762,0.013456269167363644,0.015134073793888092,0.014983168803155422,0.0,0.014824740588665009,0.08684232085943222
fail,0,12,2,0.0,0.0,0.02130039595067501,0.0,0.011103753931820393,0.01171377208083868,0.0,0.0,0.0,0.03194203972816467
fail,0,13,1,0.01896432787179947,0.02009700797498226,0.016061818227171898,0.02011835388839245,0.015018157660961151,0.015010257251560688,0.03149101510643959,0.0,0.0,0.028061794117093086
fail,0,13,2,0.0,0.0,0.02384716458618641,0.0,0.024032369256019592,0.04937953129410744,0.0,0.0,0.0,0.17045146226882935
fail,0,14,1,0.023549919947981834,0.02507440187036991,0.0,0.02511085756123066,0.01704624854028225,0.01914253644645214,0.0,0.0,0.0,0.03552932292222977
fail,0,14,2,0.0,0.0,0.03585014119744301,0.0,0.018926840275526047,0.019602617248892784,0.0,0.0,0.0,0.09334388375282288
fail,0,15,1,0.02017037943005562,0.021358104422688484,0.0,0.021526064723730087,0.014411941170692444,0.016300734132528305,0.0,0.0,0.0,0.07573367655277252
fail,0,15,2,0.0,0.0,0.050192009657621384,0.0,0.026326531544327736,0.0279593113809824,0.08724649995565414,0.0,0.0,0.05254846811294556
fail,0,16,1,0.022720472887158394,0.025033921003341675,0.0,0.025036156177520752,0.03744293749332428,0.018719496205449104,0.019100932404398918,0.0,0.01878197118639946,0.05332569405436516
fail,0,16,2,0.0,0.0,0.04410857707262039,0.0,0.015383811667561531,0.015867823734879494,0.031349632889032364,0.0,0.048596497625112534,0.09207187592983246
fail,0,17,1,0.019036075100302696,0.021568255499005318,0.0,0.021326983347535133,0.03259472921490669,0.016206689178943634,0.0,0.0,0.03122011572122574,0.04553110525012016
fail,0,17,2,0.0,0.0,0.02019979991018772,0.0,0.020786941051483154,0.0216975137591362,0.0,0.0,0.0,0.04098320007324219
